2016-12-27 23:10:53,407 : INFO : Machine : Mission Pinball Framework Core Engine v0.32.6
2016-12-27 23:10:53,408 : INFO : Machine : Machine path: C:\pinball\redskullstest
2016-12-27 23:10:54,004 : INFO : Machine : Loading cached config: C:\Users\Customer\AppData\Local\Temp\f6eef2de233280d1dd6b1c0885b8cc32config
2016-12-27 23:10:54,724 : INFO : BCPClientSocket.local_display : Connecting BCP to 'local_display' at localhost:5050...
2016-12-27 23:11:34,066 : INFO : BCPClientSocket.local_display : Connected BCP to 'local_display' localhost:5050
2016-12-27 23:11:34,745 : INFO : Mode.tilt : Mode Starting. Priority: 1000000
2016-12-27 23:11:34,749 : INFO : SwitchController : Active Switch|s_r_trough
2016-12-27 23:11:34,750 : INFO : SwitchController : Active Switch|s_l_trough
2016-12-27 23:11:34,753 : INFO : Mode.service : Mode Starting. Priority: 100000
2016-12-27 23:11:34,766 : INFO : Mode.attract : Mode Starting. Priority: 10
2016-12-27 23:11:36,973 : INFO : SwitchController : <<<<< switch: s_credit_button, State:1 >>>>>
2016-12-27 23:11:37,049 : INFO : SwitchController : <<<<< switch: s_credit_button, State:0 >>>>>
2016-12-27 23:11:37,052 : INFO : Mode.game : Mode Starting. Priority: 20
2016-12-27 23:11:37,062 : INFO : Mode.game : Player added successfully. Total players: 1
2016-12-27 23:11:37,068 : INFO : Mode.base : Mode Starting. Priority: 100
2016-12-27 23:11:37,161 : INFO : SwitchController : <<<<< switch: s_r_trough, State:0 >>>>>
2016-12-27 23:11:37,270 : INFO : SwitchController : <<<<< switch: s_ball_shooter, State:1 >>>>>
2016-12-27 23:11:40,157 : INFO : SwitchController : <<<<< switch: s_ball_shooter, State:0 >>>>>
2016-12-27 23:11:45,296 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:11:45,393 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:11:45,799 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:11:45,876 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:11:46,066 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:11:46,124 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:11:46,220 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:11:46,299 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:11:46,395 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:11:46,483 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:11:46,565 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:11:46,652 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:11:46,748 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:11:46,826 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:11:48,059 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:11:48,100 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:11:48,244 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:11:48,295 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:11:48,379 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:11:48,476 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:11:49,350 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:11:49,394 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:11:49,818 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:11:49,877 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:11:50,043 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:11:50,134 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:11:50,259 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:11:50,320 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:11:50,533 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:11:50,660 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:11:50,981 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:11:51,092 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:11:51,361 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:11:52,200 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:11:52,298 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:11:52,383 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:11:52,479 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:11:52,554 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:11:52,636 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:11:52,673 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:11:52,759 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:11:52,833 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:11:52,896 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:11:52,974 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:11:53,021 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:11:53,079 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:11:53,155 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:11:53,194 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:11:53,240 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:11:53,445 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
