2016-12-27 23:18:17,654 : INFO : Machine : Mission Pinball Framework Core Engine v0.32.6
2016-12-27 23:18:17,654 : INFO : Machine : Machine path: C:\pinball\redskullstest
2016-12-27 23:18:18,295 : INFO : Machine : Loading config from original files
2016-12-27 23:18:18,448 : INFO : Machine : Machine config file #1: C:\pinball\redskullstest\config\config
2016-12-27 23:18:18,744 : INFO : Machine : Config file cache created: C:\Users\Customer\AppData\Local\Temp\f6eef2de233280d1dd6b1c0885b8cc32config
2016-12-27 23:18:19,401 : INFO : BCPClientSocket.local_display : Connecting BCP to 'local_display' at localhost:5050...
2016-12-27 23:19:00,311 : INFO : BCPClientSocket.local_display : Connected BCP to 'local_display' localhost:5050
2016-12-27 23:19:00,568 : INFO : Mode.tilt : Mode Starting. Priority: 1000000
2016-12-27 23:19:00,570 : INFO : SwitchController : Active Switch|s_l_trough
2016-12-27 23:19:00,570 : INFO : SwitchController : Active Switch|s_r_trough
2016-12-27 23:19:00,571 : INFO : Mode.service : Mode Starting. Priority: 100000
2016-12-27 23:19:00,577 : INFO : Mode.attract : Mode Starting. Priority: 10
2016-12-27 23:19:05,194 : INFO : SwitchController : <<<<< switch: s_credit_button, State:1 >>>>>
2016-12-27 23:19:05,289 : INFO : SwitchController : <<<<< switch: s_credit_button, State:0 >>>>>
2016-12-27 23:19:05,291 : INFO : Mode.game : Mode Starting. Priority: 20
2016-12-27 23:19:05,295 : INFO : Mode.game : Player added successfully. Total players: 1
2016-12-27 23:19:05,296 : INFO : Mode.base : Mode Starting. Priority: 100
2016-12-27 23:19:05,314 : INFO : SwitchController : <<<<< switch: s_r_trough, State:0 >>>>>
2016-12-27 23:19:05,406 : INFO : SwitchController : <<<<< switch: s_ball_shooter, State:1 >>>>>
2016-12-27 23:19:06,878 : INFO : SwitchController : <<<<< switch: s_ball_shooter, State:0 >>>>>
2016-12-27 23:19:12,295 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:19:12,472 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:19:12,769 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:19:12,945 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:19:12,982 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:19:13,121 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:19:13,160 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:19:13,275 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
2016-12-27 23:19:13,275 : INFO : SwitchController : <<<<< switch: s_l_jet, State:1 >>>>>
2016-12-27 23:19:13,414 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:1 >>>>>
2016-12-27 23:19:13,454 : INFO : SwitchController : <<<<< switch: s_l_jet, State:0 >>>>>
2016-12-27 23:19:13,568 : INFO : SwitchController : <<<<< switch: s_l_kicker, State:0 >>>>>
