2016-12-27 22:57:19,941 : INFO : Machine : Mission Pinball Framework Core Engine v0.32.6
2016-12-27 22:57:19,942 : INFO : Machine : Machine path: C:\pinball\redskullstest
2016-12-27 22:57:20,624 : INFO : Machine : Loading config from original files
2016-12-27 22:57:20,830 : INFO : Machine : Machine config file #1: C:\pinball\redskullstest\config\config
2016-12-27 22:57:21,238 : INFO : Machine : Config file cache created: C:\Users\Customer\AppData\Local\Temp\f6eef2de233280d1dd6b1c0885b8cc32config
2016-12-27 22:57:21,979 : INFO : BCPClientSocket.local_display : Connecting BCP to 'local_display' at localhost:5050...
2016-12-27 22:58:01,762 : INFO : BCPClientSocket.local_display : Connected BCP to 'local_display' localhost:5050
2016-12-27 22:58:02,022 : INFO : Mode.tilt : Mode Starting. Priority: 1000000
2016-12-27 22:58:02,025 : INFO : SwitchController : Active Switch|s_r_trough
2016-12-27 22:58:02,027 : INFO : SwitchController : Active Switch|s_l_trough
2016-12-27 22:58:02,028 : INFO : Mode.service : Mode Starting. Priority: 100000
2016-12-27 22:58:02,034 : INFO : Mode.attract : Mode Starting. Priority: 10
2016-12-27 22:58:09,875 : INFO : SwitchController : <<<<< switch: s_s_target, State:1 >>>>>
2016-12-27 22:58:09,973 : INFO : SwitchController : <<<<< switch: s_s_target, State:0 >>>>>
2016-12-27 22:58:18,082 : INFO : SwitchController : <<<<< switch: s_s_target, State:1 >>>>>
2016-12-27 22:58:18,196 : INFO : SwitchController : <<<<< switch: s_s_target, State:0 >>>>>
2016-12-27 22:58:19,842 : INFO : SwitchController : <<<<< switch: s_credit_button, State:1 >>>>>
2016-12-27 22:58:19,926 : INFO : SwitchController : <<<<< switch: s_credit_button, State:0 >>>>>
2016-12-27 22:58:19,928 : INFO : Mode.game : Mode Starting. Priority: 20
2016-12-27 22:58:19,934 : INFO : Mode.game : Player added successfully. Total players: 1
2016-12-27 22:58:19,937 : INFO : Mode.base : Mode Starting. Priority: 100
2016-12-27 22:58:19,971 : INFO : SwitchController : <<<<< switch: s_r_trough, State:0 >>>>>
2016-12-27 22:58:20,075 : INFO : SwitchController : <<<<< switch: s_ball_shooter, State:1 >>>>>
2016-12-27 22:58:22,905 : INFO : SwitchController : <<<<< switch: s_c_eject, State:1 >>>>>
2016-12-27 22:58:23,017 : INFO : SwitchController : <<<<< switch: s_c_eject, State:0 >>>>>
2016-12-27 22:58:23,559 : INFO : SwitchController : <<<<< switch: s_l_flipper_eos, State:1 >>>>>
2016-12-27 22:58:23,692 : INFO : SwitchController : <<<<< switch: s_l_flipper_eos, State:0 >>>>>
2016-12-27 22:58:24,096 : INFO : SwitchController : <<<<< switch: s_c_eject, State:1 >>>>>
2016-12-27 22:58:24,305 : INFO : SwitchController : <<<<< switch: s_c_eject, State:0 >>>>>
2016-12-27 22:58:24,437 : INFO : SwitchController : <<<<< switch: s_l_flipper_eos, State:1 >>>>>
2016-12-27 22:58:24,599 : INFO : SwitchController : <<<<< switch: s_l_flipper_eos, State:0 >>>>>
2016-12-27 22:58:24,806 : INFO : SwitchController : <<<<< switch: s_c_eject, State:1 >>>>>
2016-12-27 22:58:25,001 : INFO : SwitchController : <<<<< switch: s_c_eject, State:0 >>>>>
2016-12-27 22:58:25,134 : INFO : SwitchController : <<<<< switch: s_l_flipper_eos, State:1 >>>>>
2016-12-27 22:58:25,367 : INFO : SwitchController : <<<<< switch: s_l_flipper_eos, State:0 >>>>>
2016-12-27 22:58:25,442 : INFO : SwitchController : <<<<< switch: s_c_eject, State:1 >>>>>
2016-12-27 22:58:25,614 : INFO : SwitchController : <<<<< switch: s_c_eject, State:0 >>>>>
2016-12-27 22:58:25,710 : INFO : SwitchController : <<<<< switch: s_l_flipper_eos, State:1 >>>>>
2016-12-27 22:58:25,914 : INFO : SwitchController : <<<<< switch: s_l_flipper_eos, State:0 >>>>>
2016-12-27 22:58:26,172 : INFO : SwitchController : <<<<< switch: s_a_target, State:1 >>>>>
2016-12-27 22:58:26,295 : INFO : SwitchController : <<<<< switch: s_a_target, State:0 >>>>>
2016-12-27 22:58:26,499 : INFO : SwitchController : <<<<< switch: s_s_target, State:1 >>>>>
2016-12-27 22:58:26,630 : INFO : SwitchController : <<<<< switch: s_s_target, State:0 >>>>>
2016-12-27 22:58:26,841 : INFO : SwitchController : <<<<< switch: s_lane_1, State:1 >>>>>
2016-12-27 22:58:27,024 : INFO : SwitchController : <<<<< switch: s_lane_1, State:0 >>>>>
2016-12-27 22:58:27,155 : INFO : SwitchController : <<<<< switch: s_lane_2, State:1 >>>>>
2016-12-27 22:58:27,278 : INFO : SwitchController : <<<<< switch: s_lane_2, State:0 >>>>>
2016-12-27 22:58:27,484 : INFO : SwitchController : <<<<< switch: s_lane_3, State:1 >>>>>
2016-12-27 22:58:27,582 : INFO : SwitchController : <<<<< switch: s_lane_3, State:0 >>>>>
2016-12-27 22:58:27,714 : INFO : SwitchController : <<<<< switch: s_lane_3, State:1 >>>>>
2016-12-27 22:58:27,802 : INFO : SwitchController : <<<<< switch: s_lane_3, State:0 >>>>>
2016-12-27 22:58:27,921 : INFO : SwitchController : <<<<< switch: s_lane_3, State:1 >>>>>
2016-12-27 22:58:28,018 : INFO : SwitchController : <<<<< switch: s_lane_3, State:0 >>>>>
2016-12-27 22:58:28,115 : INFO : SwitchController : <<<<< switch: s_lane_3, State:1 >>>>>
2016-12-27 22:58:28,200 : INFO : SwitchController : <<<<< switch: s_lane_3, State:0 >>>>>
2016-12-27 22:58:28,274 : INFO : SwitchController : <<<<< switch: s_lane_3, State:1 >>>>>
2016-12-27 22:58:28,349 : INFO : SwitchController : <<<<< switch: s_lane_3, State:0 >>>>>
2016-12-27 22:58:28,458 : INFO : SwitchController : <<<<< switch: s_lane_3, State:1 >>>>>
2016-12-27 22:58:28,557 : INFO : SwitchController : <<<<< switch: s_lane_3, State:0 >>>>>
2016-12-27 22:58:28,606 : INFO : SwitchController : <<<<< switch: s_lane_3, State:1 >>>>>
2016-12-27 22:58:28,753 : INFO : SwitchController : <<<<< switch: s_lane_3, State:0 >>>>>
2016-12-27 22:58:28,800 : INFO : SwitchController : <<<<< switch: s_lane_1, State:1 >>>>>
2016-12-27 22:58:28,803 : INFO : SwitchController : <<<<< switch: s_lane_2, State:1 >>>>>
2016-12-27 22:58:28,859 : INFO : SwitchController : <<<<< switch: s_lane_1, State:0 >>>>>
2016-12-27 22:58:28,882 : INFO : SwitchController : <<<<< switch: s_lane_2, State:0 >>>>>
2016-12-27 22:58:28,978 : INFO : SwitchController : <<<<< switch: s_lane_3, State:1 >>>>>
2016-12-27 22:58:29,274 : INFO : SwitchController : <<<<< switch: s_lane_3, State:0 >>>>>
2016-12-27 22:58:29,297 : INFO : SwitchController : <<<<< switch: s_lane_1, State:1 >>>>>
2016-12-27 22:58:29,521 : INFO : SwitchController : <<<<< switch: s_lane_1, State:0 >>>>>
2016-12-27 22:58:29,523 : INFO : SwitchController : <<<<< switch: s_lane_2, State:1 >>>>>
2016-12-27 22:58:29,525 : INFO : SwitchController : <<<<< switch: s_lane_3, State:1 >>>>>
2016-12-27 22:58:29,558 : INFO : SwitchController : <<<<< switch: s_lane_2, State:0 >>>>>
2016-12-27 22:58:29,655 : INFO : SwitchController : <<<<< switch: s_lane_1, State:1 >>>>>
2016-12-27 22:58:29,673 : INFO : SwitchController : <<<<< switch: s_lane_3, State:0 >>>>>
2016-12-27 22:58:29,761 : INFO : SwitchController : <<<<< switch: s_lane_2, State:1 >>>>>
2016-12-27 22:58:29,873 : INFO : SwitchController : <<<<< switch: s_lane_1, State:0 >>>>>
2016-12-27 22:58:29,876 : INFO : SwitchController : <<<<< switch: s_lane_3, State:1 >>>>>
2016-12-27 22:58:29,908 : INFO : SwitchController : <<<<< switch: s_lane_2, State:0 >>>>>
2016-12-27 22:58:30,005 : INFO : SwitchController : <<<<< switch: s_lane_3, State:0 >>>>>
2016-12-27 22:58:30,032 : INFO : SwitchController : <<<<< switch: s_lane_1, State:1 >>>>>
2016-12-27 22:58:30,109 : INFO : SwitchController : <<<<< switch: s_lane_2, State:1 >>>>>
2016-12-27 22:58:30,207 : INFO : SwitchController : <<<<< switch: s_lane_1, State:0 >>>>>
2016-12-27 22:58:30,209 : INFO : SwitchController : <<<<< switch: s_lane_3, State:1 >>>>>
2016-12-27 22:58:30,231 : INFO : SwitchController : <<<<< switch: s_lane_2, State:0 >>>>>
2016-12-27 22:58:30,343 : INFO : SwitchController : <<<<< switch: s_lane_3, State:0 >>>>>
2016-12-27 22:58:30,366 : INFO : SwitchController : <<<<< switch: s_lane_1, State:1 >>>>>
2016-12-27 22:58:30,487 : INFO : SwitchController : <<<<< switch: s_lane_2, State:1 >>>>>
2016-12-27 22:58:30,532 : INFO : SwitchController : <<<<< switch: s_lane_1, State:0 >>>>>
2016-12-27 22:58:30,534 : INFO : SwitchController : <<<<< switch: s_lane_3, State:1 >>>>>
2016-12-27 22:58:30,551 : INFO : SwitchController : <<<<< switch: s_lane_2, State:0 >>>>>
2016-12-27 22:58:30,657 : INFO : SwitchController : <<<<< switch: s_lane_3, State:0 >>>>>
2016-12-27 22:58:30,679 : INFO : SwitchController : <<<<< switch: s_lane_1, State:1 >>>>>
2016-12-27 22:58:30,850 : INFO : SwitchController : <<<<< switch: s_lane_1, State:0 >>>>>
2016-12-27 22:58:30,852 : INFO : SwitchController : <<<<< switch: s_lane_3, State:1 >>>>>
2016-12-27 22:58:30,962 : INFO : SwitchController : <<<<< switch: s_lane_3, State:0 >>>>>
2016-12-27 22:58:30,997 : INFO : SwitchController : <<<<< switch: s_lane_1, State:1 >>>>>
2016-12-27 22:58:31,126 : INFO : SwitchController : <<<<< switch: s_lane_1, State:0 >>>>>
2016-12-27 22:58:31,173 : INFO : SwitchController : <<<<< switch: s_lane_3, State:1 >>>>>
2016-12-27 22:58:31,311 : INFO : SwitchController : <<<<< switch: s_lane_3, State:0 >>>>>
