2016-12-24 18:22:49,978 : INFO : Machine : Mission Pinball Framework Core Engine v0.32.6
2016-12-24 18:22:49,979 : INFO : Machine : Machine path: C:\pinball\mpf-examples-0.32.x\demo_man
2016-12-24 18:22:50,454 : INFO : Machine : Loading config from original files
2016-12-24 18:22:50,594 : INFO : Machine : Machine config file #1: C:\pinball\mpf-examples-0.32.x\demo_man\config\config
2016-12-24 18:22:51,024 : INFO : Machine : Config file cache created: C:\Users\Customer\AppData\Local\Temp\6d969980ebb754da698a137393d1e79aconfig
2016-12-24 18:22:51,707 : INFO : BCPClientSocket.local_display : Connecting BCP to 'local_display' at localhost:5050...
2016-12-24 18:23:32,608 : INFO : BCPClientSocket.local_display : Connected BCP to 'local_display' localhost:5050
2016-12-24 18:23:32,924 : INFO : Mode.tilt : Mode Starting. Priority: 1000000
2016-12-24 18:23:32,926 : INFO : SwitchController : Active Switch|s_trough_2
2016-12-24 18:23:32,927 : INFO : SwitchController : Active Switch|s_trough_3
2016-12-24 18:23:32,928 : INFO : SwitchController : Active Switch|s_coin_door_closed
2016-12-24 18:23:32,928 : INFO : SwitchController : Active Switch|s_trough_5
2016-12-24 18:23:32,929 : INFO : SwitchController : Active Switch|s_trough_4
2016-12-24 18:23:32,929 : INFO : SwitchController : Active Switch|s_trough_1
2016-12-24 18:23:32,931 : INFO : Mode.service : Mode Starting. Priority: 100000
2016-12-24 18:23:32,936 : INFO : Mode.attract : Mode Starting. Priority: 10
2016-12-24 18:24:05,060 : INFO : SwitchController : <<<<< switch: s_start, State:1 >>>>>
2016-12-24 18:24:05,135 : INFO : SwitchController : <<<<< switch: s_start, State:0 >>>>>
2016-12-24 18:24:05,135 : INFO : Mode.game : Mode Starting. Priority: 20
2016-12-24 18:24:05,139 : INFO : Mode.game : Player added successfully. Total players: 1
2016-12-24 18:24:05,140 : INFO : Mode.skillshot : Mode Starting. Priority: 300
2016-12-24 18:24:05,144 : INFO : Mode.claw_lit_for_major_mode : Mode Starting. Priority: 200
2016-12-24 18:24:05,146 : INFO : Mode.base : Mode Starting. Priority: 100
2016-12-24 18:24:05,170 : INFO : SwitchController : <<<<< switch: s_trough_1, State:0 >>>>>
2016-12-24 18:24:05,258 : INFO : SwitchController : <<<<< switch: s_shooter_lane, State:1 >>>>>
2016-12-24 18:24:05,771 : INFO : SwitchController : <<<<< switch: s_shooter_lane, State:0 >>>>>
2016-12-24 18:24:08,849 : INFO : SwitchController : <<<<< switch: s_ball_launch, State:1 >>>>>
2016-12-24 18:24:08,899 : INFO : SwitchController : <<<<< switch: s_ball_launch, State:0 >>>>>
2016-12-24 18:24:11,238 : INFO : SwitchController : <<<<< switch: s_left_slingshot, State:1 >>>>>
2016-12-24 18:24:11,310 : INFO : SwitchController : <<<<< switch: s_left_slingshot, State:0 >>>>>
2016-12-24 18:24:11,694 : INFO : SwitchController : <<<<< switch: s_left_slingshot, State:1 >>>>>
2016-12-24 18:24:11,780 : INFO : SwitchController : <<<<< switch: s_left_slingshot, State:0 >>>>>
2016-12-24 18:24:11,915 : INFO : SwitchController : <<<<< switch: s_left_slingshot, State:1 >>>>>
2016-12-24 18:24:11,988 : INFO : SwitchController : <<<<< switch: s_left_slingshot, State:0 >>>>>
2016-12-24 18:24:12,109 : INFO : SwitchController : <<<<< switch: s_left_slingshot, State:1 >>>>>
2016-12-24 18:24:12,158 : INFO : SwitchController : <<<<< switch: s_left_slingshot, State:0 >>>>>
2016-12-24 18:24:12,270 : INFO : SwitchController : <<<<< switch: s_left_slingshot, State:1 >>>>>
2016-12-24 18:24:12,341 : INFO : SwitchController : <<<<< switch: s_left_slingshot, State:0 >>>>>
2016-12-24 18:24:12,439 : INFO : SwitchController : <<<<< switch: s_left_slingshot, State:1 >>>>>
2016-12-24 18:24:12,485 : INFO : SwitchController : <<<<< switch: s_left_slingshot, State:0 >>>>>
2016-12-24 18:24:12,597 : INFO : SwitchController : <<<<< switch: s_left_slingshot, State:1 >>>>>
2016-12-24 18:24:12,646 : INFO : SwitchController : <<<<< switch: s_left_slingshot, State:0 >>>>>
2016-12-24 18:24:12,756 : INFO : SwitchController : <<<<< switch: s_left_slingshot, State:1 >>>>>
2016-12-24 18:24:12,814 : INFO : SwitchController : <<<<< switch: s_left_slingshot, State:0 >>>>>
2016-12-24 18:24:13,145 : INFO : SwitchController : <<<<< switch: s_trough_1, State:1 >>>>>
2016-12-24 18:24:13,633 : INFO : Mode.bonus : Mode Starting. Priority: 500
2016-12-24 18:24:16,151 : INFO : Mode.skillshot : Mode Starting. Priority: 300
2016-12-24 18:24:16,156 : INFO : Mode.claw_lit_for_major_mode : Mode Starting. Priority: 200
2016-12-24 18:24:16,158 : INFO : Mode.base : Mode Starting. Priority: 100
2016-12-24 18:24:16,179 : INFO : SwitchController : <<<<< switch: s_trough_1, State:0 >>>>>
2016-12-24 18:24:16,268 : INFO : SwitchController : <<<<< switch: s_shooter_lane, State:1 >>>>>
2016-12-24 18:24:16,784 : INFO : SwitchController : <<<<< switch: s_shooter_lane, State:0 >>>>>
2016-12-24 18:24:18,695 : INFO : SwitchController : <<<<< switch: s_ball_launch, State:1 >>>>>
2016-12-24 18:24:18,753 : INFO : SwitchController : <<<<< switch: s_ball_launch, State:0 >>>>>
2016-12-24 18:24:18,841 : INFO : SwitchController : <<<<< switch: s_ball_launch, State:1 >>>>>
